platform,caption,likes,views,hashtags,caption_length,sentiment,virality_score
Facebook,What an amazing experience! Definitely a must-see. 🔥,4512,4648,#positivevibes #blessed #joy,8,0.37500000000000006,186.9
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,79709,195627,#frustration #fail #struggle,10,-0.725,251.74
Facebook,A quiet afternoon walk in the park. #nature #relax,32044,32857,#info #update #news #facts,9,0.0,211.47
X,Deeply concerned about the future. #crisis #worry,931,17350,#unacceptable #disaster,7,0.0,185.29
X,Just sharing an update on the project. More details soon.,7450,129008,#info #news,10,0.5,191.94
YouTube,Reviewing the latest industry report. Interesting findings.,202,1180,#update #news,7,0.5,192.97
Instagram,Worst experience ever. So frustrating and a waste of time. 👎,4370,5108,#struggle #disaster #problem #unacceptable,11,-0.5333333333333333,203.08
Instagram,Reviewing the latest industry report. Interesting findings.,810,4457,#project #update,7,0.5,177.96
Facebook,Can't believe this happened. Feeling really frustrated and disappointed. 😞,26886,360295,#struggle #fail #disaster #frustration,10,-0.725,281.84
Facebook,Just sharing an update on the project. More details soon.,100,1922,#update #info #news #project,10,0.5,111.48
YouTube,Testing out a new feature. Feedback welcome.,1237,36563,#daily #info #project,7,0.4681818181818182,239.27
Facebook,Worst experience ever. So frustrating and a waste of time. 👎,5046,219415,#disaster #frustration #unacceptable #problem,11,-0.5333333333333333,269.18
Instagram,So proud of this accomplishment! Hard work pays off. 💪,692942,693894,#happiness #positivevibes,10,0.35416666666666663,336.48
Instagram,Deeply concerned about the future. #crisis #worry,217,1205,#struggle #unacceptable #fail #disaster,7,0.0,127.83
Instagram,Absolutely loving this! So much joy and inspiration. ✨,1239,5556,#positivevibes #inspiration #happiness,9,0.775,240.62
YouTube,Worst experience ever. So frustrating and a waste of time. 👎,66454,117465,#struggle #unacceptable #problem #disaster,11,-0.5333333333333333,321.74
YouTube,Deeply concerned about the future. #crisis #worry,1909,6111,#unacceptable #frustration #problem #disaster,7,0.0,279.15
Facebook,Can't believe this happened. Feeling really frustrated and disappointed. 😞,399158,399619,#unacceptable #disaster,10,-0.725,301.64
X,Good vibes only. Spread happiness! ❤️,10521,58368,#success #blessed,6,0.525,223.65
X,Captured this moment. #dailyphoto,2946,9650,#info #project #news #update,4,0.0,194.92
Instagram,Captured this moment. #dailyphoto,100,1169,#facts #news #project,4,0.0,127.1
Facebook,This is unacceptable. Major issues need to be addressed immediately. 😡,7804,9847,#frustration #struggle,11,0.0625,231.32
YouTube,Just sharing an update on the project. More details soon.,4747,8747,#project #info #daily,10,0.5,256.87
Instagram,So proud of this accomplishment! Hard work pays off. 💪,661,17284,#positivevibes #blessed #success,10,0.35416666666666663,187.41
X,Absolutely disgusted by this terrible news. A complete disaster. 😠,554,30768,#problem #frustration,10,-0.6333333333333333,193.6
YouTube,A quiet afternoon walk in the park. #nature #relax,11686,27537,#info #facts #daily #update,9,0.0,248.85
Instagram,So proud of this accomplishment! Hard work pays off. 💪,270,2105,#inspiration #joy #positivevibes #success,10,0.35416666666666663,153.37
YouTube,Good vibes only. Spread happiness! ❤️,5963,48049,#success #inspiration,6,0.525,237.9
X,Absolutely loving this! So much joy and inspiration. ✨,223,1000,#joy #blessed #success #happiness,9,0.775,138.51
Facebook,Testing out a new feature. Feedback welcome.,193972,3432954,#news #project #facts #update,7,0.4681818181818182,301.76
Facebook,A quiet afternoon walk in the park. #nature #relax,676067,676292,#facts #daily,9,0.0,331.63
Facebook,A quiet afternoon walk in the park. #nature #relax,158,2619,#info #daily #update #project,9,0.0,123.88
Instagram,Reviewing the latest industry report. Interesting findings.,345,45284,#news #facts #project #info,7,0.5,208.65
